93;1;Bitcoin (BTC);BTC;967;0;1111111111111111111111111111111111111111111111111111111100000001111111111111111111111111111010000110101111110001111111111111111111111111111111111111111111111111110111111111111101111100101111111111111111111111111
94;209;Наличные KZT;KZT Наличными;398;5;1001001111010000110000000000001010000100000000000000011010000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
95;129;Газпромбанк;RUB ГПБ;643;3;1011111111111111111111111011101111111111111111111111111000000001111110111111111111100001100000100000101110000000000000000000000010001110101111111101111110110111110111011100111100111000000100000000000000000000000
96;61;WMX;WMX;998;1;0000000000000000000000000000000000000000000000000000010000000000000010111000000000011000000000000000000000000000000010100000000000000000001111110100000000010000000000000000010000000000000000000000000000000000000
97;100;Epay EUR;EUR Epay;978;1;0000000000000000000000000000000000000000000000000000010000000000000110000000000011100000000110000000000000000000000000000000000000000000000000000000000000000000000000000011100000000000100001000000000000000000000
98;72;PayPal RUB;RUB PayPal;643;1;1001001000000000000000000000000100000000000000000000010010001001100110000011100000011000000000000000000000000000000010100100111111111111101111111101111011110100000000000000000000000000000000000000000000000000000
99;9;Litecoin (LTC);LTC;997;0;1111111111111111111111111111101111111111111111111111111100000001111111111111111111111111111000100110101111100001101011111111111111111111111111111111111111111111110111111111111101111100100111111101111111111110111
100;168;Карта UnionPay;CNY UnionPay;156;3;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
101;196;Contact USD;USD Contact;840;4;1000000010000000100000000000000000000000000000000000000000000001000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
102;174;Любой банк UAH;UAH Банк;980;3;1011111111111111111111111111001111101110110111111111110100001101111110101111111111100011100000000000000110000000001010100100111111111111101110010001101011111111110011111111111100111000000100000000000000000000000
103;103;Payoneer;USD Payoneer;840;1;0000000000000000110000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000
104;39;ICON (ICX);ICX;110;0;1011111111111111111111111111101111111101111111111111111000000001111111111111111111110011110000000000101101000000001010111111111111111111101111111111111111111111110111111011111101010000100100000001111110011110000
105;122;Тинькофф;RUB Тинькофф;643;3;1011111111111111111111111111111111111111111111111111111100000001111110111111111111111001111000111010101110010001000110000001111110101111101111111101111111110111110111111101111101111000000100000000000000000000000
106;197;Contact RUB;RUB Contact;643;4;0000000000000000100000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
107;199;Золотая Корона RUB;RUB ЗолКорона;643;4;1000001011100011100000000011000100000000000000000000000000000001000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
108;81;Payeer USD;USD Payeer;840;1;1011111111111111111111111111101111111111111111111111111100000001111111111111111111111111111110111110101110010001000011111111111111111111111111111111111111111111110111111111111101111100100111101101111111111111100
109;95;NixMoney USD;USD NixMoney;840;1;1001001111110110111000000000000010000100000000000000010000000001100011000011100011100101100000010000000100000000000010100100100111010100001111110001111001010100010000000001000000000000000000000000110000010000000
110;113;Binance UAH;UAH Binance;980;2;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
111;158;Visa/MasterCard KZT;KZT Карта;398;3;1001101111111111111111111011001111101110110111111111111000000001111111101111111111100001100000100000000100000000000010100100111010001111001110110000000001011111110011110000001000111000000100000000000000000000000
112;97;GlobalMoney;UAH GM;980;1;1000001010100000010000000000000000000000000000000000000000000001000100000011000011100000000000000000000000000000000010100100100000000000001110010101000001010100000000000000000000000000000000000000000000000000000
113;176;Любой банк KZT;KZT Банк;398;3;1001101111110111111111111011001111101110110111111111111000000001111110101111111111100001100000000000000100000000000010100100111110101111101100000001101011111111110011110000011100111000000100000000000000000000000
114;149;Сбербанк KZT;KZT Сбербанк;398;3;1001101111111111111111111011001111101100110011111111011000000001111111101111111111100001100000100000000100000000000010100100111110101111101110110001111011111111110011110000011100111000000100000000000000000000000
